"","annotation"
"M1.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"N20.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"P5.MAA000937.3_8_M.1.1","Goblet Cell 1"
"D7.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"E19.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G9.MAA000937.3_8_M.1.1","Goblet Cell 1"
"H20.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"J16.MAA000937.3_8_M.1.1","Enterocyte 1"
"A13.MAA000937.3_8_M.1.1","Enterocyte 1"
"H21.MAA000937.3_8_M.1.1","Goblet Cell 1"
"J18.MAA000937.3_8_M.1.1","Goblet Cell 1"
"M4.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"N21.MAA000937.3_8_M.1.1","Goblet Cell 1"
"P6.MAA000937.3_8_M.1.1","Goblet Cell 1"
"B21.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"D8.MAA000937.3_8_M.1.1","Goblet Cell 1"
"E20.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G10.MAA000937.3_8_M.1.1","Goblet Cell 1"
"B22.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"D10.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"E21.MAA000937.3_8_M.1.1","Goblet Cell 4"
"G11.MAA000937.3_8_M.1.1","Goblet Cell 1"
"I2.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"J19.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"M8.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"N22.MAA000937.3_8_M.1.1","Amplifying Cell"
"P8.MAA000937.3_8_M.1.1","Chromaffin Cell"
"D11.MAA000937.3_8_M.1.1","Amplifying Cell"
"E22.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G12.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I3.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"J20.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"M11.MAA000937.3_8_M.1.1","Goblet Cell 1"
"O1.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P9.MAA000937.3_8_M.1.1","Goblet Cell 1"
"A16.MAA000937.3_8_M.1.1","Goblet Cell 4"
"C1.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"J21.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"M15.MAA000937.3_8_M.1.1","Enterocyte 2"
"O2.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P10.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"A17.MAA000937.3_8_M.1.1","Enterocyte 2"
"C2.MAA000937.3_8_M.1.1","Goblet Cell 1"
"D12.MAA000937.3_8_M.1.1","Goblet Cell 1"
"F1.MAA000937.3_8_M.1.1","Goblet Cell 1"
"G15.MAA000937.3_8_M.1.1","Enterocyte 1"
"I4.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G16.MAA000937.3_8_M.1.1","Goblet Cell 4"
"I5.MAA000937.3_8_M.1.1","Goblet Cell 1"
"J22.MAA000937.3_8_M.1.1","Goblet Cell 4"
"M17.MAA000937.3_8_M.1.1","Enterocyte 2"
"O3.MAA000937.3_8_M.1.1","Goblet Cell 1"
"P11.MAA000937.3_8_M.1.1","Goblet Cell 1"
"A18.MAA000937.3_8_M.1.1","Goblet Cell 1"
"C3.MAA000937.3_8_M.1.1","Goblet Cell 1"
"D13.MAA000937.3_8_M.1.1","Amplifying Cell"
"F2.MAA000937.3_8_M.1.1","Goblet Cell 1"
"A19.MAA000937.3_8_M.1.1","Goblet Cell 1"
"M18.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"O5.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P12.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"C4.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"D14.MAA000937.3_8_M.1.1","Enterocyte 2"
"F3.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G17.MAA000937.3_8_M.1.1","Enterocyte 2"
"I6.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"K1.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I7.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"K2.MAA000937.3_8_M.1.1","Goblet Cell 2"
"M19.MAA000937.3_8_M.1.1","Goblet Cell 1"
"O7.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P13.MAA000937.3_8_M.1.1","Enterocyte 1"
"A20.MAA000937.3_8_M.1.1","Goblet Cell 1"
"C5.MAA000937.3_8_M.1.1","Goblet Cell 1"
"D15.MAA000937.3_8_M.1.1","Enterocyte 1"
"F4.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G18.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"F5.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"G19.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I9.MAA000937.3_8_M.1.1","Goblet Cell 1"
"K3.MAA000937.3_8_M.1.1","Goblet Cell 1"
"M20.MAA000937.3_8_M.1.1","Goblet Cell 2"
"O8.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P14.MAA000937.3_8_M.1.1","Enterocyte 1"
"A21.MAA000937.3_8_M.1.1","Tuft Cell"
"C6.MAA000937.3_8_M.1.1","Amplifying Cell"
"D16.MAA000937.3_8_M.1.1","Enterocyte 2"
"I11.MAA000937.3_8_M.1.1","Goblet Cell 1"
"M21.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"O10.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"P16.MAA000937.3_8_M.1.1","Enterocyte 2"
"A22.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"C7.MAA000937.3_8_M.1.1","Goblet Cell 1"
"D17.MAA000937.3_8_M.1.1","Enterocyte 2"
"F6.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G20.MAA000937.3_8_M.1.1","Goblet Cell 1"
"D18.MAA000937.3_8_M.1.1","Enterocyte 2"
"F9.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"G21.MAA000937.3_8_M.1.1","Amplifying Cell"
"I15.MAA000937.3_8_M.1.1","Enterocyte 2"
"K6.MAA000937.3_8_M.1.1","Goblet Cell 1"
"M22.MAA000937.3_8_M.1.1","Tuft Cell"
"O11.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B1.MAA000937.3_8_M.1.1","Goblet Cell 1"
"C8.MAA000937.3_8_M.1.1","Goblet Cell 2"
"B2.MAA000937.3_8_M.1.1","Goblet Cell 1"
"C9.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"D19.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"F10.MAA000937.3_8_M.1.1","Goblet Cell 1"
"G22.MAA000937.3_8_M.1.1","Enterocyte 2"
"I18.MAA000937.3_8_M.1.1","Goblet Cell 4"
"K7.MAA000937.3_8_M.1.1","Goblet Cell 1"
"N1.MAA000937.3_8_M.1.1","Amplifying Cell"
"O12.MAA000937.3_8_M.1.1","Goblet Cell 1"
"B3.MAA000937.3_8_M.1.1","Goblet Cell 1"
"C10.MAA000937.3_8_M.1.1","Goblet Cell 1"
"D20.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"P18.MAA000937.3_8_M.1.1","Goblet Cell 2"
"I19.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"F11.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"K17.MAA000937.3_8_M.1.1","Enterocyte 2"
"N2.MAA000937.3_8_M.1.1","Goblet Cell 2"
"O13.MAA000937.3_8_M.1.1","Enterocyte 2"
"H1.MAA000937.3_8_M.1.1","Goblet Cell 1"
"P19.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B6.MAA000937.3_8_M.1.1","Goblet Cell 1"
"C13.MAA000937.3_8_M.1.1","Enterocyte 2"
"D21.MAA000937.3_8_M.1.1","Goblet Cell 1"
"F16.MAA000937.3_8_M.1.1","Enterocyte 2"
"H2.MAA000937.3_8_M.1.1","Goblet Cell 1"
"B7.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I20.MAA000937.3_8_M.1.1","Enterocyte 2"
"C14.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E1.MAA000937.3_8_M.1.1","Goblet Cell 1"
"F18.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"K18.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"N3.MAA000937.3_8_M.1.1","Goblet Cell 1"
"O15.MAA000937.3_8_M.1.1","Enterocyte 2"
"P20.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H4.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B9.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E3.MAA000937.3_8_M.1.1","Amplifying Cell"
"I21.MAA000937.3_8_M.1.1","Goblet Cell 4"
"F20.MAA000937.3_8_M.1.1","Goblet Cell 1"
"H5.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I22.MAA000937.3_8_M.1.1","Goblet Cell 1"
"K19.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"N4.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"O16.MAA000937.3_8_M.1.1","Goblet Cell 4"
"P21.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"K20.MAA000937.3_8_M.1.1","Goblet Cell 4"
"A1.MAA000937.3_8_M.1.1","Goblet Cell 1"
"B10.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E5.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"F21.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H6.MAA000937.3_8_M.1.1","Goblet Cell 1"
"J1.MAA000937.3_8_M.1.1","Goblet Cell 1"
"K21.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"N6.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"O18.MAA000937.3_8_M.1.1","Goblet Cell 4"
"N5.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"O17.MAA000937.3_8_M.1.1","Goblet Cell 4"
"P22.MAA000937.3_8_M.1.1","Tuft Cell"
"A2.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E6.MAA000937.3_8_M.1.1","Goblet Cell 1"
"F22.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H7.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"J2.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"K22.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B11.MAA000937.3_8_M.1.1","Goblet Cell 1"
"C18.MAA000937.3_8_M.1.1","Enterocyte 2"
"N7.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"O19.MAA000937.3_8_M.1.1","Goblet Cell 1"
"E12.MAA001539.3_56_F.1.1","Amplifying Cell"
"F14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"K3.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"L5.MAA001539.3_56_F.1.1","Amplifying Cell"
"M7.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"N9.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"P13.MAA001539.3_56_F.1.1","Enterocyte 2"
"A3.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"B5.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"C7.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"D10.MAA001539.3_56_F.1.1","Chromaffin Cell"
"H20.MAA001539.3_56_F.1.1","Enterocyte 2"
"K4.MAA001539.3_56_F.1.1","Amplifying Cell"
"M8.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"O12.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"P14.MAA001539.3_56_F.1.1","Enterocyte 2"
"A4.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"B6.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"C8.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"D11.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"E13.MAA001539.3_56_F.1.1","Enterocyte 2"
"J3.MAA001539.3_56_F.1.1","Amplifying Cell"
"K5.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"L7.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"M9.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"N11.MAA001539.3_56_F.1.1","Amplifying Cell"
"O13.MAA001539.3_56_F.1.1","Goblet Cell 4"
"A6.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"A5.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"C10.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"D13.MAA001539.3_56_F.1.1","Goblet Cell 4"
"D12.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"E14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"G18.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"P16.MAA001539.3_56_F.1.1","Goblet Cell 4"
"A7.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"B9.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"C11.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"D14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"I2.MAA001539.3_56_F.1.1","Goblet Cell 4"
"J5.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"K7.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"L9.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"J4.MAA001539.3_56_F.1.1","Non-Cycling Undiff. Cell"
"K6.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"L8.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"M10.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"N12.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"G21.MAA001539.3_56_F.1.1","Goblet Cell 4"
"I3.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"K8.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"L10.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"M12.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"N14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"O16.MAA001539.3_56_F.1.1","Enterocyte 1"
"P17.MAA001539.3_56_F.1.1","Goblet Cell 4"
"A8.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"B10.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"A9.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"K9.MAA001539.3_56_F.1.1","Amplifying Cell"
"M13.MAA001539.3_56_F.1.1","Goblet Cell 4"
"N15.MAA001539.3_56_F.1.1","Goblet Cell 4"
"O17.MAA001539.3_56_F.1.1","Goblet Cell 4"
"P19.MAA001539.3_56_F.1.1","Goblet Cell 3 (Batch Effect)"
"A10.MAA001539.3_56_F.1.1","Amplifying Cell"
"B12.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"C14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"B11.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"D17.MAA001539.3_56_F.1.1","Enterocyte 2"
"F21.MAA001539.3_56_F.1.1","Enterocyte 2"
"C13.MAA001539.3_56_F.1.1","Goblet Cell 4"
"E18.MAA001539.3_56_F.1.1","Goblet Cell 4"
"H1.MAA001539.3_56_F.1.1","Amplifying Cell"
"I4.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"J7.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"A11.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"C15.MAA001539.3_56_F.1.1","Goblet Cell 4"
"F22.MAA001539.3_56_F.1.1","Goblet Cell 4"
"I6.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"J9.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"I5.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"K11.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"L13.MAA001539.3_56_F.1.1","Goblet Cell 4"
"J8.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"L12.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"M14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"N16.MAA001539.3_56_F.1.1","Enterocyte 2"
"O18.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"I7.MAA001539.3_56_F.1.1","Amplifying Cell"
"M16.MAA001539.3_56_F.1.1","Goblet Cell 4"
"N18.MAA001539.3_56_F.1.1","Goblet Cell 4"
"P22.MAA001539.3_56_F.1.1","Goblet Cell 3 (Batch Effect)"
"A13.MAA001539.3_56_F.1.1","Goblet Cell 4"
"B15.MAA001539.3_56_F.1.1","Enterocyte 2"
"A12.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"B14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"C16.MAA001539.3_56_F.1.1","Enterocyte 2"
"D19.MAA001539.3_56_F.1.1","Goblet Cell 4"
"E21.MAA001539.3_56_F.1.1","Goblet Cell 4"
"C17.MAA001539.3_56_F.1.1","Goblet Cell 4"
"M17.MAA001539.3_56_F.1.1","Enterocyte 2"
"N19.MAA001539.3_56_F.1.1","Goblet Cell 4"
"O21.MAA001539.3_56_F.1.1","Goblet Cell 3 (Batch Effect)"
"A14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"B16.MAA001539.3_56_F.1.1","Enterocyte 2"
"D21.MAA001539.3_56_F.1.1","Goblet Cell 4"
"F1.MAA001539.3_56_F.1.1","Amplifying Cell"
"G3.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"H6.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"E22.MAA001539.3_56_F.1.1","Goblet Cell 4"
"I8.MAA001539.3_56_F.1.1","Goblet Cell 2"
"L15.MAA001539.3_56_F.1.1","Goblet Cell 4"
"I9.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"A15.MAA001539.3_56_F.1.1","Goblet Cell 4"
"B17.MAA001539.3_56_F.1.1","Goblet Cell 4"
"C19.MAA001539.3_56_F.1.1","Goblet Cell 4"
"D22.MAA001539.3_56_F.1.1","Goblet Cell 4"
"G4.MAA001539.3_56_F.1.1","Amplifying Cell"
"H7.MAA001539.3_56_F.1.1","Enterocyte 2"
"I10.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"J13.MAA001539.3_56_F.1.1","Goblet Cell 4"
"K15.MAA001539.3_56_F.1.1","Goblet Cell 4"
"J12.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"L17.MAA001539.3_56_F.1.1","Amplifying Cell"
"M19.MAA001539.3_56_F.1.1","Enterocyte 2"
"K14.MAA001539.3_56_F.1.1","Enterocyte 2"
"M18.MAA001539.3_56_F.1.1","Goblet Cell 3 (Batch Effect)"
"G5.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"H8.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"I11.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"J14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"K16.MAA001539.3_56_F.1.1","Goblet Cell 4"
"L18.MAA001539.3_56_F.1.1","Amplifying Cell"
"N22.MAA001539.3_56_F.1.1","Goblet Cell 4"
"P2.MAA001539.3_56_F.1.1","Amplifying Cell"
"P1.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"C20.MAA001539.3_56_F.1.1","Enterocyte 2"
"F3.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"A17.MAA001539.3_56_F.1.1","Enterocyte 2"
"K17.MAA001539.3_56_F.1.1","Goblet Cell 4"
"L19.MAA001539.3_56_F.1.1","Enterocyte 2"
"M21.MAA001539.3_56_F.1.1","Goblet Cell 3 (Batch Effect)"
"O1.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"P3.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"A18.MAA001539.3_56_F.1.1","Amplifying Cell"
"B19.MAA001539.3_56_F.1.1","Goblet Cell 4"
"E3.MAA001539.3_56_F.1.1","Amplifying Cell"
"F5.MAA001539.3_56_F.1.1","Chromaffin Cell"
"G7.MAA001539.3_56_F.1.1","Non-Cycling Undiff. Cell"
"G6.MAA001539.3_56_F.1.1","Non-Cycling Undiff. Cell"
"H9.MAA001539.3_56_F.1.1","Non-Cycling Undiff. Cell"
"I12.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"J15.MAA001539.3_56_F.1.1","Goblet Cell 4"
"A19.MAA001539.3_56_F.1.1","Goblet Cell 3 (Batch Effect)"
"D2.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"F6.MAA001539.3_56_F.1.1","Goblet Cell 4"
"G8.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"H11.MAA001539.3_56_F.1.1","Chromaffin Cell"
"I14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"J17.MAA001539.3_56_F.1.1","Goblet Cell 4"
"I13.MAA001539.3_56_F.1.1","Goblet Cell 4"
"K19.MAA001539.3_56_F.1.1","Enterocyte 2"
"K18.MAA001539.3_56_F.1.1","Goblet Cell 4"
"M22.MAA001539.3_56_F.1.1","Goblet Cell 4"
"O2.MAA001539.3_56_F.1.1","Amplifying Cell"
"P4.MAA001539.3_56_F.1.1","Undiff. Cell (Batch Effect)"
"G9.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"H12.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"I15.MAA001539.3_56_F.1.1","Goblet Cell 4"
"O4.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"P5.MAA001539.3_56_F.1.1","Chromaffin Cell"
"A21.MAA001539.3_56_F.1.1","Enterocyte 2"
"A20.MAA001539.3_56_F.1.1","Goblet Cell 4"
"D3.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"E5.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"F7.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"O5.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"C2.MAA001539.3_56_F.1.1","Amplifying Cell"
"D5.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"F9.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"E6.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"G11.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"H14.MAA001539.3_56_F.1.1","Goblet Cell 4"
"I17.MAA001539.3_56_F.1.1","Goblet Cell 4"
"G10.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"I16.MAA001539.3_56_F.1.1","Goblet Cell 4"
"C3.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"F10.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"G12.MAA001539.3_56_F.1.1","Non-Cycling Undiff. Cell"
"H15.MAA001539.3_56_F.1.1","Enterocyte 2"
"I18.MAA001539.3_56_F.1.1","Goblet Cell 4"
"J21.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"L1.MAA001539.3_56_F.1.1","Amplifying Cell"
"K22.MAA001539.3_56_F.1.1","Goblet Cell 4"
"N5.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"O7.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"P9.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"M2.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"N4.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"P8.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"M4.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"N6.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"B3.MAA001539.3_56_F.1.1","Amplifying Cell"
"D8.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"E10.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"B2.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"C4.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"D7.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"F11.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"G13.MAA001539.3_56_F.1.1","Goblet Cell 4"
"H16.MAA001539.3_56_F.1.1","Goblet Cell 4"
"F12.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"P11.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"A2.MAA001539.3_56_F.1.1","Goblet Cell 4"
"B4.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"E11.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"F13.MAA001539.3_56_F.1.1","Enterocyte 2"
"G15.MAA001539.3_56_F.1.1","Goblet Cell 4"
"H18.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"I21.MAA001539.3_56_F.1.1","Goblet Cell 4"
"K2.MAA001539.3_56_F.1.1","Amplifying Cell"
"L4.MAA001539.3_56_F.1.1","Amplifying Cell"
"I20.MAA001539.3_56_F.1.1","Goblet Cell 4"
"K1.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"M5.MAA001539.3_56_F.1.1","Cycling Undiff. Cell"
"N7.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"O9.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"M6.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"N8.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"P12.MAA001539.3_56_F.1.1","Goblet Cell 5 (Batch Effect)"
"A1.MAA001632.3_56_F.1.1","Goblet Cell 2"
"A2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"A4.MAA001632.3_56_F.1.1","Amplifying Cell"
"A3.MAA001632.3_56_F.1.1","Goblet Cell 2"
"F7.MAA001632.3_56_F.1.1","Amplifying Cell"
"G9.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"H13.MAA001632.3_56_F.1.1","Enterocyte 1"
"I18.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
